split	id	before	after	chars_found
dev	1	Inagmayen igejdanen nan-d d akken ayagi yezmer ad yeglu s uεqal amenzu n waṭṭan n ukanṣir, lberd, SIDA d malarya i yimuḍan deg tmura yenḥafen, anda afmiḍi n ḥellu seg waṭṭanen am ukanṣir n yedmaren ahat d azgen n win n tmura irebḥen.	Inagmayen igejdanen nan-d d akken ayagi yezmer ad yeglu s uɛqal amenzu n waṭṭan n ukanṣir, lberd, SIDA d malarya i yimuḍan deg tmura yenḥafen, anda afmiḍi n ḥellu seg waṭṭanen am ukanṣir n yedmaren ahat d azgen n win n tmura irebḥen.	ε
dev	5	Mi yesεa Fidal 28 n yiseggasen di leεmeṛ-is yekcem-d ɣer Lbarṣa kraḍ n tsemhuyin ɣer deffir, si Sefiya.	Mi yesɛa Fidal 28 n yiseggasen di leɛmeṛ-is yekcem-d ɣer Lbarṣa kraḍ n tsemhuyin ɣer deffir, si Sefiya.	ε
dev	7	Taskant tebda tamudi n 11:00 akud adigan (UTC+1) di Waythall agemmaḍ iɣallen n tɣellist εussen anekcum n Ubrid Duwnin, tanezduɣt tunṣibt n Uneɣlaf Amenzu.	Taskant tebda tamudi n 11:00 akud adigan (UTC+1) di Waythall agemmaḍ iɣallen n tɣellist ɛussen anekcum n Ubrid Duwnin, tanezduɣt tunṣibt n Uneɣlaf Amenzu.	ε
dev	9	Γef 11:20, iɣallen n tɣellist tenna i yimeskanen ad uɣalen ɣer tneddut, s usegzi d akken ilaq ad semsawin gar uzref sεan i teskant akked tkeṛṛyas ur yezmiren ad iεeddin.	Ɣef 11:20, iɣallen n tɣellist tenna i yimeskanen ad uɣalen ɣer tneddut, s usegzi d akken ilaq ad semsawin gar uzref sɛan i teskant akked tkeṛṛyas ur yezmiren ad iɛeddin.	Γ,ε
dev	10	Tamudi n 11:29, imeskanen ddan si Waythall, εeddan seg Urti Trafalgar, deg ubrid n Iri n Wasif, s uεeddi ɣef Aldwič d asawen n Kingsway ɣer Hulburn anda yexdem Ukabar Aqdim Anejmuε-ines n Tefsut deg usensu Tixxamin n Kunnut Ameqqran.	Tamudi n 11:29, imeskanen ddan si Waythall, ɛeddan seg Urti Trafalgar, deg ubrid n Iri n Wasif, s uɛeddi ɣef Aldwič d asawen n Kingsway ɣer Hulburn anda yexdem Ukabar Aqdim Anejmuɛ-ines n Tefsut deg usensu Tixxamin n Kunnut Ameqqran.	ε
dev	14	Seld timlilit, Agellid n Talaɣt yenna-d, "Ferḥeɣ mliḥ imi d-uɣaleɣ ɣer timliliyin tineggura n uneḍru axatar akk yellan. Aqli da i wakken ad εerḍeɣ ad rebḥeɣ ay-a."	Seld timlilit, Agellid n Talaɣt yenna-d, "Ferḥeɣ mliḥ imi d-uɣaleɣ ɣer timliliyin tineggura n uneḍru axatar akk yellan. Aqli da i wakken ad ɛerḍeɣ ad rebḥeɣ ay-a."	ε
dev	16	Ifayluten mlan-d mraw d ukkuẓ n tbankatin iεawnen imsaɣen-nsen inesbuɣar ad fren imelyaṛen n yidularen Imarikaniyen n tbaɣurt i wakken ad sinfen taẓeṭṭaḍt d yilugan niḍen.	Ifayluten mlan-d mraw d ukkuẓ n tbankatin iɛawnen imsaɣen-nsen inesbuɣar ad fren imelyaṛen n yidularen Imarikaniyen n tbaɣurt i wakken ad sinfen taẓeṭṭaḍt d yilugan niḍen.	ε
dev	17	Aɣmis Aglizi Aεessas yenna-d d akken Tabanka Talalmanit tesselḥay akken ttelt n 1200 nni n tkebbaniyin ixedmen aya.	Aɣmis Aglizi Aɛessas yenna-d d akken Tabanka Talalmanit tesselḥay akken ttelt n 1200 nni n tkebbaniyin ixedmen aya.	ε
dev	18	Llan imeskanen si yal tama n umaḍal, aṭas n temsal yeεnan ccreε inɣi, d iqeṛṛa n yinabaḍen n Aysland d Bakistan i yeǧǧan axeddim-nsen di sin.	Llan imeskanen si yal tama n umaḍal, aṭas n temsal yeɛnan ccreɛ inɣi, d iqeṛṛa n yinabaḍen n Aysland d Bakistan i yeǧǧan axeddim-nsen di sin.	ε
dev	20	Hsieh yewwet-d lmeεna di tefrant d akken Ma yezmer ad yerwel si tmurt di teswiεt n tezɣint.	Hsieh yewwet-d lmeɛna di tefrant d akken Ma yezmer ad yerwel si tmurt di teswiɛt n tezɣint.	ε
